站名,平均氣溫,絕對最高氣溫,絕對最高氣溫日期,絕對最低氣溫,絕對最低氣溫日期,平均相對濕度 %,總降雨量mm,平均風速m/s,最多風向,總日照時數h,總日射量MJ/ m2,平均地溫(0cm),平均地溫(5cm),平均地溫(10 cm),平均地溫(20 cm),平均地溫(50 cm),平均地溫(100 cm),Year,Month
茶改場,15.1,25.2,1/2,6.4,1/12,92.7,319.0,3.2,ENE,109.0,208.5,16.9,16.9,17.2,17.5,18.0,19.3,2018,1
桃園農改,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,2018,1
五峰站,*11.6,*21.2,1/18,-0.6,1/12,*84.6,*326.5,*0.3,*SE,*57.1,*243.9,*14.1,*14.2,*14.4,*14.5,*15.0,*16.0,2018,1
苗栗農改,15.3,26.8,1/17,2.4,1/13,*86.9,172.0,2.4,NE,94.7,272.2,16.9,17.4,17.7,18.0,18.5,19.6,2018,1
台中農改,16.7,273.8,1/18,5.9,1/13,XXX,94.0,2.5,N,XXX,*165.4,18.8,19.5,19.8,20.1,20.6,21.4,2018,1
臺大溪頭,*11.7,*20.3,1/8,-0.1,1/13,*90.7,172.0,1.0,S,89.6,312.2,15.4,15.5,15.6,15.7,17.0,16.6,2018,1
雲林分場,XXX,XXX,1/17,11.1,1/30,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,2018,1
義竹分場,*17.1,*28.5,1/8,4.6,1/13,*84.5,*26.0,*2.9,*N,*148.5,*345.3,*20.0,*20.2,*20.5,*20.8,*21.4,*22.1,2018,1
畜試所,17.2,29.0,1/8,4.4,1/13,82.2,21.5,*1.6,XXX,152.1,320.8,21.0,21.3,21.3,21.6,21.1,21.1,2018,1
高雄農改,19.0,30.8,1/22,6.8,1/13,79.2,36.5,1.0,N,155.1,314.6,21.3,21.3,21.4,22.1,21.9,23.8,2018,1
恆春畜試,21.2,29.3,1/28,14.5,1/13,69.9,35.5,2.1,NE,153.8,426.7,22.1,22.4,22.5,22.8,23.1,23.5,2018,1
蘭陽分場,16.1,24.8,1/4,7.3,1/12,XXX,402.5,1.4,W,*38.1,179.0,17.4,17.6,17.8,17.9,18.2,19.0,2018,1
花蓮農改,17.4,25.7,1/18,7.8,1/14,85.7,97.5,1.0,WNW,*47.0,*127.7,19.1,19.4,19.7,20.0,20.1,20.9,2018,1
斑鳩分場,17.2,26.6,1/16,7.4,1/13,80.9,56.0,1.2,WSW,*38.3,*102.1,16.4,19.5,19.7,20.3,20.8,21.4,2018,1
農業試驗所,17.1,26.8,1/18,4.6,1/13,82.5,100.0,3.2,N,169.2,*189.0,19.7,19.4,XXX,XXX,20.2,21.6,2018,1
桃園農改,XXX,XXX,2/23,XXX,2/23,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,2018,2
茶改場,13.5,28.8,2/15,5.3,2/5,XXX,*32.5,2.9,*ENE,70.3,193.7,15.0,15.0,15.3,15.5,16.0,17.5,2018,2
五峰站,10.3,23.0,2/15,-0.1,2/5,*91.2,186.0,0.3,*SE,52.5,*163.2,12.8,12.7,12.9,12.9,13.2,14.2,2018,2
苗栗農改,XXX,XXX,2/15,4.8,2/6,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,2018,2
農業試驗所,XXX,XXX,2/14,8.3,2/4,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,2018,2
臺中農改,15.9,31.1,2/15,7.9,2/5,86.1,25.5,2.7,*N,XXX,293.8,18.0,18.6,18.8,19.0,19.4,20.1,2018,2
臺大溪頭,*11.4,*22.6,2/15,0.4,2/5,91.5,92.0,0.9,*S,74.9,296.0,14.9,14.9,15.0,15.0,16.1,15.4,2018,2
雲林分場,*15.6,*29.9,2/19,6.5,2/6,*81.9,*34.5,*2.2,XXX,*79.9,XXX,*18.7,*19.0,*19.1,*19.4,*19.7,*20.7,2018,2
義竹分場,16.4,32.8,2/15,7.7,2/6,82.8,15.5,3.3,*NNE,150.3,382.0,19.0,19.2,19.4,19.6,20.1,20.8,2018,2
畜試所,XXX,XXX,2/2,XXX,2/4,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,2018,2
恆春畜試,21.0,31.8,2/25,13.9,2/7,XXX,38.5,2.0,*NE,120.5,413.0,21.9,22.2,22.3,22.6,22.6,22.7,2018,2
高雄農改,18.6,31.9,2/15,7.6,2/6,77.7,6.5,1.2,*N,136.1,276.0,20.9,20.8,21.0,21.5,21.3,23.0,2018,2
蘭陽分場,15.7,27.5,2/16,7.9,2/5,XXX,99.0,1.4,*W,62.8,215.2,16.7,16.8,16.9,16.9,17.2,17.7,2018,2
花蓮農改,16.8,27.2,2/28,9.7,2/5,85.6,42.5,1.0,*WNW,74.5,203.3,18.5,18.7,18.9,19.1,19.2,19.7,2018,2
斑鳩分場,16.7,27.8,2/20,9.6,2/5,80.8,12.5,1.3,*WSW,28.9,146.2,15.6,18.7,18.9,19.4,19.8,20.4,2018,2
茶改場,18.5,29.5,3/5,8.7,3/23,XXX,60.0,2.3,E,183.8,448.6,19.1,18.9,18.8,18.8,18.6,18.6,2018,3
桃園農改,XXX,XXX,3/31,11.1,3/23,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,2018,3
五峰站,13.9,27.0,3/3,3.2,3/9,81.0,105.0,0.4,SE,110.7,487.0,16.1,16.0,16.0,15.6,15.6,15.4,2018,3
苗栗農改,*18.9,*29.6,3/31,8.4,3/11,*85.5,*65.5,*2.1,*NE,*155.3,*394.7,*18.6,*18.9,*19.0,*19.1,*19.2,*19.5,2018,3
台中農改,20.2,30.4,3/3,10.5,3/10,82.8,37.0,2.0,N,195.8,486.2,21.4,21.8,21.8,21.8,21.8,21.9,2018,3
臺大溪頭,13.0,22.7,3/3,3.1,3/10,89.2,68.0,1.0,S,122.5,422.7,17.1,17.1,17.1,17.1,18.1,16.8,2018,3
雲林分場,XXX,XXX,3/2,XXX,3/2,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,2018,3
義竹分場,20.6,31.7,3/5,10.7,3/10,80.6,35.5,2.5,N,242.8,602.9,22.1,22.1,22.2,22.2,22.2,22.4,2018,3
畜試所,20.9,33.7,3/4,9.6,3/10,75.1,0.5,1.6,NNW,265.7,587.4,22.9,23.0,23.0,23.0,21.9,21.9,2018,3
高雄農改,22.1,33.7,3/3,11.2,3/9,72.7,26.0,1.2,N,234.8,*363.3,23.6,23.5,23.6,23.8,23.7,24.2,2018,3
恆春畜試,23.5,32.0,3/4,16.1,3/9,XXX,38.0,1.5,ENE,209.7,578.1,24.4,24.7,24.7,25.1,24.6,24.2,2018,3
蘭陽分場,19.8,29.2,3/5,10.1,3/22,77.1,33.0,1.7,W,131.7,*345.3,21.1,21.0,21.0,20.9,20.7,20.4,2018,3
花蓮農改,20.1,29.7,3/5,10.3,3/10,81.1,58.5,1.0,NW,120.7,321.2,21.5,21.6,21.7,21.6,21.6,21.1,2018,3
斑鳩分場,19.5,31.8,3/5,9.5,3/10,81.2,54.5,1.3,WSW,94.0,217.5,17.9,21.2,21.3,21.7,21.8,21.8,2018,3
農業試驗所,XXX,XXX,3/5,10.1,3/10,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,2018,3
桃園農改,*22.2,*31.0,4/23,12.6,4/7,XXX,*19.5,*2.1,*NE,*137.7,*432.1,*22.2,XXX,*21.9,*22.7,*22.4,*21.9,2018,4
茶改場,XXX,XXX,4/1,XXX,4/2,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,2018,4
五峰站,16.5,25.9,4/14,4.8,4/7,89.5,74.5,0.3,*SE,63.7,436.1,18.7,18.5,18.4,17.8,17.5,16.9,2018,4
苗栗農改,22.2,32.4,4/23,10.4,4/8,85.4,68.5,1.7,*NE,143.7,429.5,21.7,21.8,21.7,21.7,21.4,21.2,2018,4
農業試驗所,24.0,32.8,4/23,14.1,4/9,75.4,29.5,2.0,*N,XXX,504.0,25.3,24.9,XXX,XXX,24.6,24.1,2018,4
臺中農改,23.8,31.9,4/14,13.1,4/8,81.7,25.5,1.7,*NNW,162.9,498.6,24.6,25.0,24.8,24.7,24.4,24.1,2018,4
臺大溪頭,15.8,24.8,4/14,6.7,4/9,94.5,163.0,0.8,*S,66.8,339.5,19.0,18.9,18.8,18.7,19.4,18.0,2018,4
雲林分場,*24.6,*33.2,4/23,16.6,4/18,*77.4,*24.0,*1.7,XXX,*130.9,XXX,*27.7,*27.4,*27.3,*27.0,*26.7,*26.2,2018,4
義竹分場,XXX,XXX,4/13,12.8,4/8,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,2018,4
畜試所,24.6,36.3,4/23,13.2,4/8,72.8,2.5,1.3,*NNW,*139.0,*352.2,26.3,26.2,26.2,25.8,24.3,24.3,2018,4
恆春畜試,25.4,34.4,4/30,18.2,4/7,73.1,17.5,1.4,*E,*118.4,*385.4,25.9,26.4,26.2,26.7,26.1,25.4,2018,4
高雄農改,*25.1,*35.1,4/12,15.5,4/7,*76.6,17.0,1.2,*N,*128.0,458.8,26.7,26.5,26.4,26.2,26.1,25.8,2018,4
